time,event,energy,completed,collision_count,reset_calls
622.3575651538789,docking_start,33.99041884902823,10,0,1
627.1596891773121,recharge_start,33.894376368559705,10,0,1
663.3183128087524,recharge_complete,60.0,10,0,1
663.3183128087524,task_available,60.0,10,0,1
663.3183128087524,decision_C,60.0,10,0,1
681.3683128087564,pickup_reached,56.339887565100625,10,0,1
703.6183128087614,dropoff_reached,51.126016381511135,10,0,1
703.6183128087614,delivery_complete,51.126016381511135,11,0,1
703.6183128087614,task_available,51.126016381511135,11,0,1
703.6183128087614,decision_C,51.126016381511135,11,0,1
723.3183128087659,pickup_reached,46.260876793005146,11,0,1
751.0183128087722,dropoff_reached,39.62563326081998,11,0,1
751.0183128087722,delivery_complete,39.62563326081998,12,0,1
751.0183128087722,task_available,39.62563326081998,12,0,1
751.0183128087722,decision_R,39.62563326081998,12,0,1
775.1683128087776,return_reached,33.99041884902823,12,0,1
775.1683128087776,docking_start,33.99041884902823,12,0,1
779.9704368322108,recharge_start,33.894376368559705,12,0,1
816.1290604636511,recharge_complete,60.0,12,0,1
816.1290604636511,task_available,60.0,12,0,1
816.1290604636511,decision_C,60.0,12,0,1
823.8790604636528,pickup_reached,58.45311531205092,12,0,1
833.5290604636549,dropoff_reached,56.02057186867138,12,0,1
833.5290604636549,delivery_complete,56.02057186867138,13,0,1
833.5290604636549,task_available,56.02057186867138,13,0,1
833.5290604636549,decision_C,56.02057186867138,13,0,1
876.0290604636646,pickup_reached,46.81045811903623,13,0,1
911.9790604636727,dropoff_reached,38.585936551575166,13,0,1
911.9790604636727,delivery_complete,38.585936551575166,14,0,1
911.9790604636727,task_available,38.585936551575166,14,0,1
911.9790604636727,decision_R,38.585936551575166,14,0,1
957.2290604636829,return_reached,28.396084989049733,14,0,1
957.2290604636829,docking_start,28.396084989049733,14,0,1
961.9466465041754,recharge_start,28.30173326823968,14,0,1
